fase,iteracion,abeja,accuracy,fitness,n_caracteristicas
empleadas,17,5,0.5392620624408704,0.4911139142927222,13
empleadas,17,6,0.5042573320719016,0.44499807281264236,16
empleadas,17,7,0.445600756859035,0.4159711272294054,8
empleadas,17,8,0.7691579943235572,0.7136024387680017,15
empleadas,17,9,0.5515610217596972,0.49970916990784536,14
empleadas,17,10,0.522232734153264,0.45556606748659734,18
observadoras,17,3,0.8334910122989593,0.7853428641508111,13
observadoras,17,3,0.7871333964049196,0.7426889519604751,12
observadoras,17,4,0.5250709555345316,0.4769228073863835,13
observadoras,17,6,0.5061494796594135,0.4542976278075616,14
observadoras,17,2,0.6026490066225165,0.5545008584743684,13
observadoras,17,3,0.6461684011352885,0.5980202529871403,13
observadoras,17,8,0.8240302743614002,0.764771015102141,16
observadoras,17,3,0.8174077578051088,0.7729633133606644,12
observadoras,17,5,0.5449385052034059,0.48938294964785034,15
observadoras,17,6,0.5042573320719016,0.44499807281264236,16
empleadas,18,1,0.5099337748344371,0.461785626686289,13
empleadas,18,2,0.6045411542100284,0.5563930060618802,13
empleadas,18,3,0.8278145695364238,0.775962717684572,14
empleadas,18,4,0.5250709555345316,0.4769228073863835,13
empleadas,18,5,0.5487228003784295,0.4931672448228739,15
empleadas,18,6,0.4910122989593188,0.4317530397000595,16
empleadas,18,7,0.4512771996215705,0.42164756999194086,8
empleadas,18,8,0.7691579943235572,0.7136024387680017,15
empleadas,18,9,0.5477767265846736,0.492221171029118,15
empleadas,18,10,0.521286660359508,0.45461999369284134,18
observadoras,18,8,0.8126773888363292,0.7497144258733662,17
observadoras,18,8,0.8164616840113529,0.7609061284557973,15
observadoras,18,5,0.5411542100283823,0.4855986544728267,15
observadoras,18,8,0.804162724692526,0.7486071691369705,15
observadoras,18,2,0.6111636707663197,0.5556081152107641,15
observadoras,18,3,0.6404919583727531,0.5960475139283086,12
observadoras,18,10,0.8410596026490066,0.7743929359823399,18
observadoras,18,8,0.5193945127719962,0.46754266092014435,14
observadoras,18,8,0.5127719962157048,0.4572164406601492,15
observadoras,18,10,0.8561967833491012,0.7858264129787308,19
exploradoras,18,3,0.7786187322611163,0.7304705841129682,13
exploradoras,18,4,0.7105014191106906,0.6771680857773573,9
exploradoras,18,8,0.4210028382213813,0.36174357896212206,16
empleadas,19,1,0.4806054872280038,0.4361610427835593,12
empleadas,19,2,0.597918637653737,0.5423630820981814,15
empleadas,19,3,0.7880794701986755,0.7362276183468237,14
empleadas,19,4,0.7228003784295175,0.6857633413924804,10
empleadas,19,5,0.5421002838221382,0.49395213567399,13
empleadas,19,6,0.5203405865657521,0.46848873471390023,14
empleadas,19,7,0.45506149479659413,0.4217281614632608,9
empleadas,19,8,0.3945127719962157,0.3389572164406601,15
empleadas,19,9,0.5175023651844843,0.4693542170363362,13
empleadas,19,10,0.8410596026490066,0.7743929359823399,18
observadoras,19,10,0.8457899716177862,0.7791233049511196,18
observadoras,19,10,0.8401135288552507,0.773446862188584,18
observadoras,19,3,0.7880794701986755,0.7399313220505274,13
observadoras,19,10,0.7956480605487228,0.7289813938820562,18
observadoras,19,10,0.8486281929990539,0.7745541189249798,20
observadoras,19,10,0.8372753074739829,0.7706086408073163,18
observadoras,19,10,0.8618732261116367,0.7877991520375627,20
observadoras,19,6,0.5260170293282876,0.4741651774764358,14
observadoras,19,9,0.5354777672658467,0.47992221171029115,15
observadoras,19,9,0.5298013245033113,0.48165317635516314,13
