iteracion,hormiga,sse,silueta
18,6,1277.9284888446423,0.2848589191898987
18,7,1277.9284888446423,0.2848589191898987
18,8,1277.9284888446423,0.2848589191898987
18,9,1277.9284888446423,0.2848589191898987
18,10,1277.9284888446423,0.2848589191898987
18,11,1277.9284888446423,0.2848589191898987
18,12,1278.7607763668143,0.28594199657074876
18,13,1277.9284888446423,0.2848589191898987
18,14,1277.9284888446423,0.2848589191898987
18,15,1277.9284888446423,0.2848589191898987
19,1,1277.9284888446423,0.2848589191898987
19,2,1277.9284888446423,0.2848589191898987
19,3,1277.9284888446423,0.2848589191898987
19,4,1277.9284888446423,0.2848589191898987
19,5,1277.9284888446423,0.2848589191898987
19,6,1277.9284888446423,0.2848589191898987
19,7,1277.9284888446423,0.2848589191898987
19,8,1277.9284888446423,0.2848589191898987
19,9,1277.9284888446423,0.2848589191898987
19,10,1277.9284888446423,0.2848589191898987
19,11,1277.9284888446423,0.2848589191898987
19,12,1277.9284888446423,0.2848589191898987
19,13,1277.9284888446423,0.2848589191898987
19,14,1277.9284888446423,0.2848589191898987
19,15,1277.9284888446423,0.2848589191898987
20,1,1277.9284888446423,0.2848589191898987
20,2,1277.9284888446423,0.2848589191898987
20,3,1277.9284888446423,0.2848589191898987
20,4,1277.9284888446423,0.2848589191898987
20,5,1277.9284888446423,0.2848589191898987
20,6,1277.9284888446423,0.2848589191898987
20,7,1277.9284888446423,0.2848589191898987
20,8,1277.9284888446423,0.2848589191898987
20,9,1277.9284888446423,0.2848589191898987
20,10,1277.9284888446423,0.2848589191898987
20,11,1277.9284888446423,0.2848589191898987
20,12,1277.9284888446423,0.2848589191898987
20,13,1277.9284888446423,0.2848589191898987
20,14,1277.9284888446423,0.2848589191898987
20,15,1277.9284888446423,0.2848589191898987
